@relation testRelation-weka.filters.unsupervised.attribute.Remove-Rfirst-weka.filters.unsupervised.attribute.Remove-V-Rfirst-7

@attribute label {walking,standing,sit_down_chair_1,sitting_chair_1,stand_up_chair_1}
@attribute TYPE_ACCELEROMETER_X numeric
@attribute TYPE_ACCELEROMETER_Y numeric
@attribute TYPE_ACCELEROMETER_Z numeric
@attribute TYPE_GYROSCOPE_X numeric
@attribute TYPE_GYROSCOPE_Y numeric
@attribute TYPE_GYROSCOPE_Z numeric

@data
walking,0.187881,9.760117,0.596542,?,?,?
walking,0.806778,9.774399,0.815537,-0.180115,-0.205627,-0.24585
walking,0.856766,9.886276,0.727463,-0.003876,0.265411,0.030792
walking,0.749649,9.360214,0.527512,-0.003876,0.265411,0.030792
walking,0.314041,9.345932,0.748886,0.039917,0.221619,0.079926
walking,-0.019211,9.191208,1.048813,0.078369,0.032562,0.070313
walking,-0.514328,8.684189,1.101181,0.1008,-0.171448,0.058563
walking,-0.495285,9.698227,0.872665,0.050598,0.046448,0.182465
walking,0.221207,11.331162,-0.06282,0.039917,0.412811,0.361908
walking,0.11171,11.288315,0.917892,0.059143,0.373291,0.36618
walking,0.009354,10.483749,-0.400833,0.074097,0.316681,0.200623
walking,-0.450058,10.114792,-0.307999,-0.0466,0.203461,0.016907
walking,-0.433395,9.474472,-0.407974,-0.165161,-0.002686,-0.126221
walking,-1.018967,8.965073,0.791733,-0.240997,-0.127655,-0.168945
walking,-1.047531,9.198349,0.784592,-0.212158,-0.138336,-0.0867
walking,-1.433151,9.417343,-0.029495,-0.175842,0.017609,0.037201
walking,-1.147507,9.467331,-0.591263,-0.384125,0.079559,0.013702
walking,-0.699997,9.119797,-0.624588,-0.715241,-0.213104,-0.128357
walking,-0.607163,9.250717,-0.546036,-0.858368,-0.342346,-0.109131
walking,-0.530991,9.150742,-0.760269,-0.61911,-0.131927,0.084198
walking,-0.58812,8.762741,-0.515091,-0.51123,-0.037933,0.21344
walking,-0.495285,9.005539,-0.543655,-0.492004,-0.089203,0.275391
walking,-0.545273,9.793442,-0.203262,-0.477051,-0.17572,0.297821
walking,-0.647629,10.436142,0.337082,-0.611633,-0.239807,0.302094
walking,-0.857101,10.471848,-0.048538,-0.544342,-0.327393,0.285004
walking,-1.349838,10.355209,-0.143753,-0.427917,-0.273987,0.242279
walking,-1.504562,10.505173,-0.455582,-0.452484,-0.203491,0.186737
walking,-2.368637,10.888412,0.182358,-0.15448,-0.533539,0.025452
walking,-3.499313,11.657272,0.032394,-0.15448,-0.533539,0.025452
walking,-3.385056,12.978378,-0.279434,-0.026306,-0.434204,-0.026886
walking,-3.268417,12.483261,0.218063,0.235382,-0.245148,0.029724
walking,-2.573349,13.421127,0.45372,0.436188,0.041107,0.029724
walking,-1.606918,14.349472,0.26329,0.579315,0.562347,-0.033295
walking,-0.285812,13.390183,0.26329,1.406036,0.56662,-0.583374
walking,-0.257248,10.600388,1.422531,1.406036,0.56662,-0.583374
walking,0.076004,10.348068,0.83934,1.858917,0.661682,-0.73291
walking,0.794876,13.137863,-0.167557,2.347046,0.817627,-0.723297
walking,0.732986,12.618942,-0.024734,2.648254,0.769562,-0.638916
walking,2.891983,13.625839,-1.524368,2.894989,-0.073181,-0.557739
walking,2.851517,12.34996,1.201157,2.14624,-1.068665,-0.662415
walking,2.092178,12.890305,2.103317,1.73288,-1.657196,-0.606873
walking,2.192154,16.38469,0.977402,2.097107,-0.240875,-0.811951
walking,-0.84758,10.288559,-6.256546,1.633545,2.881226,-1.357758
walking,-0.385788,7.146469,-1.036392,1.894165,1.829132,-1.697418
walking,-1.018967,4.406662,0.758408,1.349426,0.992798,-1.553223
walking,-0.892807,6.477585,-1.771927,1.329132,1.233124,-1.107819
walking,0.042679,5.401657,-0.855484,1.007629,1.316437,-0.978577
walking,-0.043015,3.361679,-0.231827,0.80896,1.334595,-0.958283
walking,0.390213,3.068893,-0.367508,0.628449,1.424316,-0.852539
walking,0.968643,2.409531,-0.738846,0.460754,1.479858,-0.678436
walking,0.9496,2.380966,-2.159927,0.218292,1.49588,-0.43811
walking,0.092667,2.861801,-4.326065,-0.142731,1.280121,-0.249054
walking,-1.714035,4.185288,-4.661697,-0.685333,0.711884,-0.129425
walking,-2.742355,7.091721,-4.625992,-1.236481,0.244049,-0.022614
walking,-3.73259,12.459457,-4.849747,-1.499237,0.03363,0.152557
walking,-3.366013,15.718185,-7.258682,-1.125397,0.438446,0.137604
walking,-0.790451,15.74913,-10.219864,-0.206818,0.77063,-0.089905
walking,-1.133225,13.882919,-7.677628,0.357147,0.512146,-0.259735
walking,-1.468857,10.024338,-5.478165,0.567566,0.346588,-0.403931
walking,-1.157028,8.512802,-7.282486,0.914703,0.756744,-0.274689
walking,-2.171066,10.374252,-7.011124,0.75769,0.564484,-0.147583
walking,-0.095383,17.470139,-4.564102,0.399872,0.354065,-0.013
walking,1.123367,15.392075,-3.700028,0.412689,-1.489502,-0.126221
walking,4.841507,0.131516,-0.065201,0.660492,-1.460663,-0.1604
walking,3.408524,3.402145,-2.490799,-0.54007,-1.880432,-0.117676
walking,-0.033493,7.044113,-4.199905,-0.76651,-0.649963,0.573395
walking,-0.523849,14.192368,9.506271,-2.096314,-2.486054,0.619324
walking,-5.075119,13.970993,4.62175,-2.550263,-3.697296,0.772064
walking,-1.55217,9.860092,-0.807877,-1.67868,-2.251068,0.829742
walking,0.109329,8.455673,0.018112,-1.655182,-1.818481,1.206787
walking,1.730362,8.577072,2.784103,-1.783356,-2.221161,1.27301
walking,0.633011,9.364975,2.822189,-1.745972,-1.135956,1.417206
walking,0.511612,10.017197,-0.741226,-1.501373,0.482239,1.364868
walking,-1.276047,8.919846,1.758164,-1.862396,0.730042,1.019867
walking,-1.504562,7.941513,-0.298477,-1.588959,-0.073181,0.60437
walking,-0.58812,8.760361,-1.864761,-1.434082,-0.497223,0.376862
walking,-0.095383,7.970078,0.782211,-1.136078,-0.943695,0.176056
walking,-0.571457,6.970322,0.448959,-0.575317,-0.542084,0.476196
