@relation testRelation-weka.filters.unsupervised.attribute.Remove-Rfirst-weka.filters.unsupervised.attribute.Remove-V-Rfirst-7

@attribute label {walking,standing,sit_down_chair_1,sitting_chair_1,stand_up_chair_1}
@attribute TYPE_ACCELEROMETER_X numeric
@attribute TYPE_ACCELEROMETER_Y numeric
@attribute TYPE_ACCELEROMETER_Z numeric
@attribute TYPE_GYROSCOPE_X numeric
@attribute TYPE_GYROSCOPE_Y numeric
@attribute TYPE_GYROSCOPE_Z numeric

@data
walking,-1.892563,10.669418,-2.526505,?,?,?
walking,-2.58049,10.136215,0.270432,1.129303,1.031891,-1.670364
walking,-2.542404,9.226913,-0.238968,0.852661,0.946442,-2.015366
walking,0.223587,7.66777,-1.08638,0.86441,0.915466,-1.989731
walking,-1.271286,6.927475,-1.107803,0.647583,1.084229,-1.810288
walking,-1.464096,4.725632,-2.857376,0.062256,1.484772,-1.473831
walking,-2.040146,4.282883,-1.545792,0.062256,1.484772,-1.473831
walking,-1.68071,4.792282,-0.31752,-0.250702,1.113068,-1.062607
walking,-0.707138,3.792526,-0.541275,-0.350037,1.015869,-0.672745
walking,-0.426254,2.79277,-1.269669,-0.475006,0.917603,-0.340561
walking,-1.402206,3.064133,-2.519363,-0.688629,0.662323,-0.03508
walking,-2.861374,3.533066,-4.057083,-1.269684,0.130402,0.33876
walking,-4.927536,5.011276,-5.197281,-1.269684,0.130402,0.33876
walking,-8.707565,9.226913,-5.525772,-1.407471,0.199829,0.402847
walking,-10.442856,13.059311,-6.244644,-0.969543,0.1539,0.356918
walking,-9.759689,12.269028,-6.504105,-0.259247,-0.156921,-0.083145
walking,-5.998703,9.257858,-7.249161,0.108185,0.206238,-0.593704
walking,-4.196762,6.95842,-7.046829,0.143433,1.032959,-0.757126
walking,-3.649277,10.23143,-6.047073,0.013123,1.189972,-0.682358
walking,-6.584274,13.018845,-4.073746,0.422211,-0.03302,-0.289291
walking,-6.593796,13.314011,-5.885208,0.422211,-0.03302,-0.289291
walking,-2.870895,10.03624,3.679123,0.516205,-1.008209,-0.338425
walking,4.017899,6.953659,-6.108963,0.546112,-1.352142,0.007645
walking,0.494949,5.077927,-0.807877,-0.144959,-0.918488,0.400711
walking,-0.535751,8.146225,7.916184,-1.108398,-1.314758,1.051193
walking,0.275955,15.261154,5.428696,-1.75354,-2.592224,1.698471
walking,-5.855881,13.992416,0.939316,-1.45874,-2.858185,1.633316
