@relation testRelation-weka.filters.unsupervised.attribute.Remove-Rfirst-weka.filters.unsupervised.attribute.Remove-V-Rfirst-19

@attribute label {walking,standing,sit_down_chair_1,sitting_chair_1,stand_up_chair_1}
@attribute TYPE_ACCELEROMETER_X_MEAN numeric
@attribute TYPE_ACCELEROMETER_X_VARIANCE numeric
@attribute TYPE_ACCELEROMETER_X_RANGE numeric
@attribute TYPE_ACCELEROMETER_Y_MEAN numeric
@attribute TYPE_ACCELEROMETER_Y_VARIANCE numeric
@attribute TYPE_ACCELEROMETER_Y_RANGE numeric
@attribute TYPE_ACCELEROMETER_Z_MEAN numeric
@attribute TYPE_ACCELEROMETER_Z_VARIANCE numeric
@attribute TYPE_ACCELEROMETER_Z_RANGE numeric
@attribute TYPE_GYROSCOPE_X_MEAN numeric
@attribute TYPE_GYROSCOPE_X_VARIANCE numeric
@attribute TYPE_GYROSCOPE_X_RANGE numeric
@attribute TYPE_GYROSCOPE_Y_MEAN numeric
@attribute TYPE_GYROSCOPE_Y_VARIANCE numeric
@attribute TYPE_GYROSCOPE_Y_RANGE numeric
@attribute TYPE_GYROSCOPE_Z_MEAN numeric
@attribute TYPE_GYROSCOPE_Z_VARIANCE numeric
@attribute TYPE_GYROSCOPE_Z_RANGE numeric

@data
walking,-2.361187,10.372496,19.169129,9.42133,17.723833,20.323013,-0.539014,15.445627,26.793458,-0.203876,1.107882,5.275421,-0.129247,1.26378,5.573425,0.109073,1.672364,4.967804
walking,-1.330819,12.284888,20.537842,9.761521,27.476057,20.480118,-0.310927,19.026989,29.435668,-0.127313,1.512253,5.455933,0.079474,1.292986,5.075684,-0.021921,2.032204,5.079956
walking,-0.832108,11.634668,21.778015,9.696912,29.826746,20.584854,-0.262242,19.885535,32.153457,-0.107115,1.584336,5.32135,0.039003,1.436395,5.741119,-0.089981,1.97218,5.142975
walking,-0.701901,10.084989,19.649964,9.77916,26.949383,20.584854,-0.316181,18.800601,32.153457,-0.087483,1.494715,5.270081,-0.059563,1.581056,5.764618,-0.120369,1.746634,4.857788
walking,-0.617112,8.821886,15.20105,10.010353,25.053868,19.999283,-0.364955,16.795465,27.623611,-0.049875,1.54375,5.586243,-0.056754,1.619818,5.761414,-0.142404,1.777463,4.677277
walking,-0.547201,9.088062,15.731873,10.022053,27.900727,20.439652,-0.350006,18.506103,27.728347,-0.001639,1.753803,5.863953,-0.020651,1.514142,5.585175,-0.13466,1.863083,4.93042
walking,-0.495333,7.752338,15.703308,9.871143,31.310805,20.439652,-0.469382,18.524451,27.728347,0.003702,1.775354,5.760345,0.078534,1.333724,5.52536,-0.144273,1.753988,4.992371
walking,-0.464364,7.795042,17.926575,9.75285,32.155563,20.311111,-0.566001,19.987806,33.06752,0.006319,1.799072,6.192932,0.047398,1.441646,6.903229,-0.191815,1.637791,4.992371
walking,-0.474433,9.67325,17.926575,9.719674,32.951334,20.453934,-0.458843,21.654564,30.2688,0.020845,1.873589,6.222839,-0.035562,1.549967,7.755585,-0.17934,1.789982,5.008392
walking,-0.364246,9.351814,18.752564,9.66223,32.308242,20.453934,-0.389217,20.06078,27.726562,-0.017874,1.881415,5.652466,0.007974,1.232997,5.809479,-0.150105,1.819182,5.123749
