@relation testRelation-weka.filters.unsupervised.attribute.Remove-Rfirst-weka.filters.unsupervised.attribute.Remove-V-Rfirst-7

@attribute label {walking,standing,sit_down_chair_1,sitting_chair_1,stand_up_chair_1}
@attribute TYPE_ACCELEROMETER_X numeric
@attribute TYPE_ACCELEROMETER_Y numeric
@attribute TYPE_ACCELEROMETER_Z numeric
@attribute TYPE_GYROSCOPE_X numeric
@attribute TYPE_GYROSCOPE_Y numeric
@attribute TYPE_GYROSCOPE_Z numeric

@data
walking,0.30452,6.153854,-2.052811,-0.609406,-0.14267,0.40242
walking,1.163834,7.310715,3.169724,-1.811035,-1.317596,0.635269
walking,1.749405,7.377365,4.152817,-1.811035,-1.317596,0.635269
walking,1.118607,8.017685,2.424667,-2.247894,-0.918121,1.003769
walking,0.837723,9.986252,1.274948,-2.100494,-0.945892,1.261185
walking,0.49971,12.635605,2.472275,-2.172058,-1.215057,1.605118
walking,1.220963,11.588242,0.408493,-2.132538,-1.007843,1.783493
walking,0.616348,9.638718,0.282333,-1.582459,-0.546417,1.42247
walking,-0.290573,8.512802,0.00383,-1.266296,0.41275,1.043289
walking,0.766312,8.215256,-0.12471,-1.192596,0.581512,0.865982
walking,-0.088242,7.924851,-0.731705,-1.144531,0.813293,0.751694
walking,0.028397,8.024826,0.044296,-1.476715,0.813293,0.502823
walking,0.704422,7.872482,-0.024734,-1.490601,0.618897,0.392807
walking,0.442581,8.110519,-0.964981,-1.126373,0.565491,0.221909
walking,1.01387,7.967697,-2.300369,-0.889252,0.640259,0.184525
walking,0.292618,8.62944,1.132126,-0.797394,0.074158,0.429123
walking,0.452103,8.888901,0.989304,-0.797394,0.074158,0.429123
walking,1.2043,11.231186,1.082138,-0.453461,-0.027313,0.669449
walking,1.13765,13.990036,1.124985,-0.596588,0.163879,0.830734
walking,-0.035873,14.635117,0.401352,-0.780304,0.629578,0.716446
walking,-1.528366,14.239975,1.831955,-0.72583,0.462952,0.557297
walking,-1.625961,14.71843,-0.288956,-0.353058,0.157471,0.420578
walking,-1.133225,15.301621,-0.37941,-0.061462,0.033569,0.256088
walking,0.394974,15.627731,-1.041153,-0.021942,-0.008087,-0.081436
walking,0.773453,13.863876,0.52037,0.246155,-0.453491,-0.480911
walking,1.373306,10.662277,2.650803,0.686218,-1.03241,-0.724442
