@relation testRelation-weka.filters.unsupervised.attribute.Remove-Rfirst-weka.filters.unsupervised.attribute.Remove-V-Rfirst-19

@attribute label {walking,standing,sit_down_chair_1,sitting_chair_1,stand_up_chair_1}
@attribute TYPE_ACCELEROMETER_X_MEAN numeric
@attribute TYPE_ACCELEROMETER_X_VARIANCE numeric
@attribute TYPE_ACCELEROMETER_X_RANGE numeric
@attribute TYPE_ACCELEROMETER_Y_MEAN numeric
@attribute TYPE_ACCELEROMETER_Y_VARIANCE numeric
@attribute TYPE_ACCELEROMETER_Y_RANGE numeric
@attribute TYPE_ACCELEROMETER_Z_MEAN numeric
@attribute TYPE_ACCELEROMETER_Z_VARIANCE numeric
@attribute TYPE_ACCELEROMETER_Z_RANGE numeric
@attribute TYPE_GYROSCOPE_X_MEAN numeric
@attribute TYPE_GYROSCOPE_X_VARIANCE numeric
@attribute TYPE_GYROSCOPE_X_RANGE numeric
@attribute TYPE_GYROSCOPE_Y_MEAN numeric
@attribute TYPE_GYROSCOPE_Y_VARIANCE numeric
@attribute TYPE_GYROSCOPE_Y_RANGE numeric
@attribute TYPE_GYROSCOPE_Z_MEAN numeric
@attribute TYPE_GYROSCOPE_Z_VARIANCE numeric
@attribute TYPE_GYROSCOPE_Z_RANGE numeric

@data
walking,-0.398023,3.585946,11.213928,10.183799,12.135822,17.338624,-0.53411,7.767836,19.726135,0.199728,1.648414,5.721893,-0.027487,1.013786,6.578522,-0.115903,0.464383,3.147736
walking,-0.331801,5.604846,13.53479,10.122516,19.347308,19.368485,-0.989856,13.329439,19.726135,-0.108904,2.1375,5.881042,-0.180452,1.364234,5.664215,0.043396,0.641446,3.398743
walking,-0.427064,4.812328,13.003967,9.275283,22.356314,20.115921,-1.007137,13.245437,19.547608,-0.205333,1.990834,5.884247,-0.061848,1.446737,6.787872,0.092155,0.669075,3.520508
walking,-0.402617,5.326763,15.103454,9.149551,23.338513,20.115921,-1.093831,13.763905,19.738037,-0.15918,2.190772,5.918427,-0.055183,1.435391,6.348877,0.078366,0.719236,3.520508
walking,-0.102214,5.960641,16.729248,9.398015,25.56763,20.484879,-1.074954,13.539964,16.917297,-0.016597,2.432539,5.918427,0.001149,1.430613,5.623627,-0.002629,0.817807,3.326111
walking,-0.116473,5.287175,13.408631,9.394081,27.915501,20.503922,-1.023633,12.99788,17.967041,0.056676,2.378273,5.844727,0.021518,1.357898,5.404663,-0.06019,0.863121,3.563232
walking,-0.216329,5.681054,13.560975,9.615914,27.885122,20.503922,-0.974526,12.562866,18.838257,0.054721,2.230217,5.853271,0.044258,1.315517,4.647369,-0.077803,0.854482,3.563232
walking,-0.278671,5.563806,13.560975,9.766716,24.223174,19.735062,-1.039701,11.881193,18.47168,0.140662,2.196163,5.827637,0.038341,1.268971,4.689026,-0.091988,0.764044,3.239594
walking,-0.173054,6.023918,14.729736,9.617157,24.690732,19.625565,-1.256719,11.223501,17.519532,0.193843,2.127194,5.557404,0.061284,1.098304,4.677277,-0.096741,0.683554,3.311157
walking,-0.209307,5.748425,14.729736,9.647769,25.440433,20.1064,-0.995831,10.964894,16.148437,0.072046,2.186171,5.856476,0.095175,1.163788,5.013733,-0.069066,0.780457,3.385925
walking,-0.224684,5.25873,12.606446,9.707088,23.67203,20.1064,-0.463913,9.551196,15.896118,-0.028688,2.308344,5.836182,-0.002483,1.314078,5.030823,-0.007927,0.827133,3.385925
walking,-0.0448,4.862271,12.606446,9.626096,19.915463,19.349442,-0.473387,8.819386,16.684021,0.008899,2.191824,5.63324,-0.04399,1.256578,4.566193,-0.010544,0.812393,3.223572
walking,-0.16139,5.057471,11.592407,9.980289,16.350093,19.349442,-0.808424,10.691812,16.829224,0.010629,2.279381,5.501862,-0.089684,1.151495,4.35791,-0.003003,0.83696,3.259888
walking,-0.161129,5.520079,11.432922,10.101938,20.347318,20.411087,-0.998473,11.978222,17.174378,-0.120653,2.204292,5.687714,-0.162476,1.094423,4.237213,0.0814,0.746212,3.259888
walking,-0.248083,4.565808,11.723327,9.489992,24.546115,20.782425,-0.961958,12.94024,16.926819,-0.193477,1.965055,5.809479,-0.054553,1.208215,5.457001,0.090553,0.726351,3.374176
walking,-0.26865,4.727338,12.028015,9.192517,24.936729,20.782425,-1.02092,13.652609,19.633301,-0.176526,2.084967,5.938721,-0.047749,1.215248,5.991058,0.069287,0.758683,3.374176
walking,0.013876,5.199108,11.002075,9.285304,25.606037,20.137344,-1.155411,12.884975,19.633301,-0.065741,2.301459,5.993195,-0.094212,1.277794,4.990234,0.025676,0.778825,3.346405
walking,0.018209,5.132574,10.604553,9.449639,26.372364,19.068558,-1.053936,13.622233,19.154846,0.049402,2.195017,6.130981,0.050015,1.323459,4.609985,-0.079384,0.773159,3.314362
walking,-0.142371,4.6081,9.716675,9.689128,24.498448,19.53511,-1.028085,13.28683,18.783508,0.103224,1.995393,6.108551,0.060034,1.182039,4.804382,-0.124544,0.701694,2.96936
walking,-0.172435,4.789414,10.916382,9.694085,22.931524,19.756485,-1.145318,11.878653,16.429322,0.17309,2.023785,5.664215,0.02468,1.144802,4.900513,-0.119107,0.650712,2.862549
walking,-0.137087,4.633339,11.006836,9.670692,24.291972,19.756485,-1.172335,12.193854,17.110108,0.165495,2.120257,5.664215,0.085167,1.093861,4.70398,-0.096965,0.707518,3.075104
walking,-0.217305,4.37699,10.054687,9.731112,23.092842,19.585098,-0.834894,10.82475,16.048462,0.015179,2.297056,5.749664,0.044183,1.12935,4.68689,-0.043282,0.771234,3.093262
walking,-0.134421,5.110936,10.547424,9.485868,20.383567,20.344437,-0.491787,9.004819,17.364807,-0.033922,2.353332,5.83725,-0.035316,1.245002,4.346161,-0.003281,0.751622,3.053742
walking,-0.103,5.270436,10.668823,9.825993,20.160701,20.344437,-0.620065,10.031258,17.288635,0.059987,2.383321,5.640717,-0.11628,1.157731,4.76593,-0.013417,0.796497,3.13385
walking,-0.217234,5.573329,12.332703,10.306799,22.384349,20.908585,-1.016159,11.474403,16.372193,0.00061,2.48742,5.850067,-0.119153,1.149731,5.069275,0.003822,0.788806,3.175507
walking,-0.204427,5.327242,12.332703,9.930105,25.399814,20.908585,-1.193473,11.812525,17.281495,-0.12782,2.214148,5.850067,-0.072615,1.161876,4.842835,0.061116,0.731803,3.290863
walking,-0.370839,4.139878,10.77594,9.326865,23.974107,20.258743,-1.111302,12.870354,17.448121,-0.194182,1.853532,5.360871,-0.023759,1.308587,5.414276,0.089902,0.699265,3.361359
walking,-0.302737,4.554156,12.4422,9.265166,23.098899,20.62056,-1.173644,13.248391,17.56952,-0.163602,1.9991,5.705872,-0.017554,1.428887,5.397186,0.078537,0.739135,3.353882
walking,-0.059106,5.791932,12.756409,9.400895,24.368953,20.62056,-1.160005,12.621388,16.593567,-0.03735,2.360597,5.694122,-0.062244,1.297882,4.792633,0.033345,0.801884,3.419037
