@relation testRelation-weka.filters.unsupervised.attribute.Remove-Rfirst-weka.filters.unsupervised.attribute.Remove-V-Rfirst-19

@attribute label {walking,standing,sit_down_chair_1,sitting_chair_1,stand_up_chair_1}
@attribute TYPE_ACCELEROMETER_X_MEAN numeric
@attribute TYPE_ACCELEROMETER_X_VARIANCE numeric
@attribute TYPE_ACCELEROMETER_X_RANGE numeric
@attribute TYPE_ACCELEROMETER_Y_MEAN numeric
@attribute TYPE_ACCELEROMETER_Y_VARIANCE numeric
@attribute TYPE_ACCELEROMETER_Y_RANGE numeric
@attribute TYPE_ACCELEROMETER_Z_MEAN numeric
@attribute TYPE_ACCELEROMETER_Z_VARIANCE numeric
@attribute TYPE_ACCELEROMETER_Z_RANGE numeric
@attribute TYPE_GYROSCOPE_X_MEAN numeric
@attribute TYPE_GYROSCOPE_X_VARIANCE numeric
@attribute TYPE_GYROSCOPE_X_RANGE numeric
@attribute TYPE_GYROSCOPE_Y_MEAN numeric
@attribute TYPE_GYROSCOPE_Y_VARIANCE numeric
@attribute TYPE_GYROSCOPE_Y_RANGE numeric
@attribute TYPE_GYROSCOPE_Z_MEAN numeric
@attribute TYPE_GYROSCOPE_Z_VARIANCE numeric
@attribute TYPE_GYROSCOPE_Z_RANGE numeric

@data
walking,1.60882,9.720456,19.868958,9.766187,23.983474,21.025819,-1.16129,21.885915,21.927979,0.224205,2.63737,6.68747,0.067525,2.318361,8.08136,-0.231325,0.94067,4.951782
walking,1.486588,7.600447,18.264588,9.46745,23.760717,20.614013,-0.794094,16.326177,20.185547,0.103027,3.07659,6.5625,0.059941,1.978618,7.688294,-0.167804,0.976038,5.103455
walking,1.653262,7.509568,15.984192,9.475466,22.637815,21.696487,-0.263319,13.568586,19.457153,0.013722,3.43539,6.5625,-0.126776,2.115349,8.063202,-0.075017,1.109705,5.301056
walking,1.774161,8.286525,17.748047,10.047963,18.083465,20.694351,-0.625945,18.853665,21.754212,-0.143237,2.953252,6.206818,-0.245882,2.037015,7.755585,0.03313,0.893612,5.301056
walking,1.261238,6.668539,19.328613,9.73814,20.028438,22.639114,-1.027299,22.723604,23.698975,-0.354649,2.753122,6.474915,-0.057829,1.817578,8.073883,0.102066,0.791965,5.047913
walking,1.234388,7.976186,17.436218,9.126015,27.59222,22.639114,-1.159005,22.556019,23.698975,-0.255678,3.157512,6.539001,0.070227,2.207788,8.184967,0.025044,1.066716,5.503998
walking,1.685087,9.248029,16.257935,9.238607,26.804903,22.422501,-1.1616,21.192795,22.044617,-0.037483,3.353154,6.539001,0.01319,2.408113,8.404999,-0.107167,1.123114,5.503998
walking,1.656309,7.093983,15.924682,9.682564,19.507423,21.201966,-0.899949,18.723434,21.044861,0.221161,2.607156,6.020966,0.336861,2.054627,8.117676,-0.214886,0.973764,5.001984
walking,1.432363,6.642166,13.694275,9.775399,17.405029,16.29602,-0.989047,16.37134,19.614258,0.321094,2.1135,5.769959,0.695491,1.737951,7.337952,-0.323898,0.849865,4.759521
walking,1.577137,6.83428,14.82019,9.318629,19.444037,18.60022,-0.415187,12.886651,21.023437,0.164091,2.602737,5.892792,0.454214,1.951519,8.35907,-0.295016,0.911848,4.897308
walking,1.71696,7.384817,14.853516,9.961377,17.165886,20.285523,-0.005787,13.766016,21.090088,-0.057542,3.041162,6.730194,-0.045322,1.936972,7.835693,-0.079236,0.989085,4.808655
walking,1.643288,8.404598,18.100342,10.187679,19.536917,22.089844,-0.848962,19.936437,21.251953,-0.247443,3.139099,7.026062,-0.074417,1.644519,7.606049,0.089206,0.805074,4.776611
walking,1.368974,7.521062,19.197693,9.429888,25.617468,22.658753,-1.130322,21.632797,21.918457,-0.3683,2.937171,7.19696,0.081741,2.037955,8.527832,0.104149,0.825581,4.575806
walking,1.45631,8.277371,19.785645,9.066143,22.430717,21.93512,-0.98181,22.375261,21.432862,-0.187532,3.253432,6.968384,0.061116,2.51337,8.527832,-0.061334,1.030875,4.950714
walking,1.819293,11.048424,19.916565,9.35412,23.326574,18.893005,-0.922349,22.620741,19.452393,0.075587,3.780532,7.420197,-0.048494,2.755488,8.979645,-0.15912,1.080582,5.007324
walking,1.802011,11.676631,19.916565,9.698394,24.825724,19.673767,-0.968314,22.301397,20.428345,0.231981,3.229715,7.420197,0.030739,2.676722,8.979645,-0.196718,0.955763,4.852448
walking,1.813127,9.625893,16.864929,9.660141,24.256182,21.316223,-1.081905,21.355002,21.556641,0.239917,3.066811,7.263184,0.10321,2.271142,7.594299,-0.193535,0.901245,5.073548
walking,1.624816,8.632309,18.364563,9.520151,24.570103,20.140319,-0.671957,16.949696,20.671143,0.030385,3.518696,7.263184,0.008426,2.44652,7.69043,-0.125047,1.0837,5.202789
walking,1.658665,9.331667,18.914429,9.526959,22.176448,19.895141,-0.236278,15.49048,20.599732,-0.022124,3.429498,6.81778,-0.051357,2.496418,8.104858,-0.094264,1.113693,5.04364
walking,1.756594,7.689639,18.914429,10.089822,17.609556,21.413818,-0.599451,19.294669,21.968445,-0.161032,3.057968,7.046356,-0.248253,2.109686,8.104858,0.026048,0.890399,4.871674
walking,1.3605,5.030186,13.403869,9.758046,17.281815,20.713989,-0.903901,18.59821,21.201965,-0.314616,2.42404,6.944885,-0.058727,1.820543,7.575073,0.064714,0.792485,4.660187
walking,1.414439,5.702709,15.672363,9.08621,19.583846,18.809692,-1.077882,18.802817,19.776123,-0.21761,2.635703,6.247406,0.140659,2.021097,8.150788,-0.028543,0.917247,4.832153
walking,1.67071,8.101189,15.848511,9.264047,19.669934,18.831115,-1.250316,20.172709,19.94751,-0.033691,3.159182,6.317902,-0.119214,2.527219,7.754517,-0.095108,0.915538,4.883423
walking,1.59433,10.149574,17.836121,9.459131,21.880734,21.018082,-1.214069,19.435961,19.621399,0.24828,2.809179,6.54541,-0.00687,2.600621,7.862396,-0.215218,0.8826,4.813995
walking,1.494592,9.256574,17.836121,9.507024,22.554951,21.020462,-1.265033,18.027407,18.240784,0.239832,2.799507,6.939545,0.151201,2.305967,7.717133,-0.213231,0.861044,4.722137
walking,1.573567,7.02523,16.469788,9.353644,20.471932,18.971557,-0.46934,13.533549,19.002503,0.000029,3.15845,6.84021,-0.050385,2.15139,7.760925,-0.087802,0.96009,4.536285
walking,1.69537,8.457624,18.276489,9.767972,18.820817,20.825866,-0.024996,13.860301,20.616394,-0.077132,3.002919,6.381989,-0.241481,2.209936,8.219147,-0.031812,1.054413,4.836426
walking,1.702512,9.481828,18.340759,10.095868,18.455479,20.349793,-0.775337,18.97919,19.511902,-0.247432,2.880842,6.595612,-0.191354,1.868844,7.604981,0.064639,0.825054,4.662323
walking,1.356406,6.669578,19.126281,9.468593,20.407879,20.542603,-1.11254,18.724827,19.649963,-0.432697,2.516515,6.480255,0.060251,1.533242,7.297363,0.109084,0.733584,4.874878
walking,1.176283,5.64408,13.729981,8.993274,19.309166,20.794327,-0.961244,19.169663,19.649963,-0.250401,2.663051,6.06369,0.112578,2.036172,6.697083,-0.023843,0.999553,4.96994
walking,1.549954,8.001239,18.981079,9.436261,19.426802,21.182327,-0.878478,19.737298,19.573792,0.012323,2.953103,6.418305,-0.064206,2.204907,7.210846,-0.120049,1.019854,4.905853
walking,1.645692,9.67929,17.940857,9.765687,20.738259,19.411926,-1.174763,19.057326,18.973938,0.235847,2.577541,6.539001,0.042125,2.024459,8.192444,-0.218999,0.833979,4.901581
walking,1.334102,9.03917,19.69043,9.504798,20.048136,19.764221,-1.05046,17.764563,18.466919,0.165416,2.60215,6.359558,0.181941,2.042496,8.345184,-0.226572,0.926324,5.157928
walking,1.494063,7.3189,18.255066,9.409059,18.336581,19.409546,-0.142158,12.29154,19.202454,-0.019411,2.905296,6.497345,-0.075154,2.273892,7.800446,-0.072913,1.012348,5.157928
walking,1.83317,6.057294,15.132019,10.029789,14.629957,17.964661,-0.205309,11.33577,16.822083,-0.163799,2.618513,6.405487,-0.284227,1.66528,7.065582,0.078279,0.73109,4.292755
walking,1.308465,4.750288,12.211304,9.901534,15.226335,18.890625,-0.995474,14.519972,15.97467,-0.380167,2.05598,5.992126,-0.069354,1.082131,6.091461,0.14933,0.731772,5.106659
walking,1.210917,4.197443,10.464111,9.102634,15.705963,18.890625,-1.089784,12.910789,18.900146,-0.108299,2.020041,5.992126,0.452164,1.492044,5.873566,-0.074493,0.900611,4.804382
walking,1.3401,5.453862,12.44458,9.584802,11.187824,14.215576,-0.825301,12.539289,17.726623,0.368561,1.965691,5.13443,1.027045,1.72295,6.180115,-0.417903,1.032733,4.393158
walking,1.402204,5.87303,14.165588,9.873232,12.241424,16.68164,-0.735989,12.964684,20.675904,0.458752,1.851623,5.330963,1.142316,1.795733,7.569733,-0.477109,1.139315,4.689026
walking,1.769971,6.129581,17.276733,9.531363,16.481711,19.37146,-0.288242,12.132255,20.675904,0.225604,2.420246,6.43753,0.44976,2.317414,8.023682,-0.291737,1.105707,4.737091
walking,1.785396,7.946529,17.288635,9.971422,15.595908,19.935608,-0.337563,15.247003,19.659485,-0.131039,2.682638,6.414032,-0.195776,2.014143,7.533417,-0.033595,0.90767,4.510651
walking,1.276687,6.590917,16.348389,9.791847,17.096036,20.352173,-0.999663,18.620651,19.659485,-0.35184,2.434683,6.5625,-0.085066,1.809541,7.311249,0.107172,0.751994,4.700775
walking,1.253859,6.806043,19.614258,9.048767,20.037186,19.040589,-1.190569,18.588682,19.107239,-0.262898,2.8667,6.5625,0.075002,1.990964,8.142243,0.019469,0.948619,4.962463
walking,1.671495,8.259736,19.614258,9.27821,20.814748,19.040589,-1.172335,18.491447,19.107239,-0.029771,3.198548,6.446076,-0.007948,2.176552,8.142243,-0.108492,1.026319,4.971008
walking,1.68811,8.459501,17.138672,9.471491,22.633459,20.882401,-1.122943,19.56334,22.146973,0.168546,2.939857,6.33606,0.083087,1.900144,7.875214,-0.222523,0.863506,4.784088
walking,1.525959,8.597438,17.138672,9.524621,22.626778,21.367996,-1.29452,19.436038,22.146973,0.22225,2.762472,6.190796,0.154181,1.790209,7.875214,-0.248778,0.765566,4.000092
walking,1.650715,7.601393,15.389099,9.400847,20.255816,20.930603,-0.440966,13.589993,20.571167,0.116229,3.062403,6.555023,-0.069386,2.01554,6.696015,-0.130965,0.913627,4.483948
walking,1.712247,8.804662,16.03894,10.00836,17.022017,20.837174,0.072218,13.49846,19.714234,-0.088988,3.139135,6.555023,-0.265204,1.83013,6.772919,-0.014391,0.921843,4.509583
walking,1.418724,6.998003,16.03894,9.909693,17.976693,20.696732,-0.746439,18.202929,19.097718,-0.341138,2.783678,6.841278,-0.077942,1.414562,6.981201,0.087828,0.739172,4.387817
walking,1.41363,6.650392,18.102722,9.21356,18.428263,20.468812,-1.139415,17.148426,18.259827,-0.35011,2.685753,6.841278,0.050595,1.806393,7.703247,0.062321,0.838142,4.663391
walking,1.639527,8.112688,18.102722,9.359447,19.277195,20.232559,-1.106447,17.017521,18.907288,-0.052501,3.097434,6.414032,-0.077322,2.097758,7.703247,-0.114729,0.961618,4.663391
walking,1.656523,7.657301,15.946106,9.517575,21.885496,20.075455,-1.11085,16.541854,18.676392,0.233893,2.69992,6.08078,-0.008643,1.893891,7.502441,-0.265312,0.835801,4.369659
walking,1.308893,6.575432,15.946106,9.757593,19.503857,19.792785,-1.08826,16.261342,20.309327,0.157448,2.369523,6.033783,0.027994,2.254264,7.87735,-0.218796,0.911224,4.163513
walking,1.544217,4.772604,12.556458,9.672686,16.681289,18.995361,-0.25006,11.64123,19.633301,0.067673,2.813958,6.056214,0.018808,2.028162,7.87735,-0.050504,0.921431,4.26178
walking,1.921672,5.779675,14.824952,9.983467,12.012695,16.003235,-0.325875,11.625552,15.962769,-0.117624,2.702562,6.111755,-0.155455,1.533371,7.298431,0.045306,0.674949,4.004364
walking,1.246861,5.339236,15.977051,9.799839,14.508416,20.651505,-1.143104,16.223932,18.657349,-0.449541,2.119791,6.461029,-0.149367,1.642341,6.888275,0.10088,0.616974,3.847351
walking,1.159025,5.808543,16.565002,9.011645,20.064474,20.651505,-1.169979,17.515096,18.657349,-0.247475,2.627036,6.470642,0.012955,2.183688,8.020477,-0.019304,0.876515,4.440155
walking,1.669758,7.81372,16.565002,9.339475,20.523378,20.353958,-1.124085,17.840908,17.838501,0.10354,3.051634,6.309357,-0.035794,2.353759,8.214874,-0.188301,0.928199,4.530945
walking,1.528554,7.875531,15.032044,9.642758,21.545992,20.913345,-1.179881,16.966877,18.897766,0.247939,2.652932,6.202545,0.136076,2.074904,7.765198,-0.250102,0.83701,3.842011
walking,1.419962,7.625094,15.450989,9.501626,23.180628,21.708389,-1.020539,16.102715,20.485473,0.197203,2.798,6.329651,0.1584,2.139531,7.812195,-0.206747,0.879059,4.63028
walking,1.653738,7.880978,18.043213,9.379852,21.575342,19.821349,-0.283647,12.681634,17.648071,0.025941,3.062264,6.451416,-0.038838,2.055819,7.819672,-0.11537,0.939673,4.367523
walking,1.697251,8.180229,18.043213,10.030497,17.048971,20.825272,-0.289408,14.203852,19.269104,-0.164749,2.729765,6.283722,-0.352138,1.94226,7.819672,-0.008665,0.838484,4.285278
walking,1.307679,5.222973,12.549316,9.916001,18.283567,20.630081,-0.973717,17.31877,19.264343,-0.345271,2.678003,6.657562,-0.199867,1.681033,6.642609,0.095807,0.650496,3.752289
walking,1.354192,4.94393,13.79425,8.981015,23.199887,20.630081,-1.285165,17.332079,22.073182,-0.258572,2.966582,6.702423,0.179634,1.386789,6.26236,-0.004468,0.787878,4.818268
walking,1.516676,8.198217,16.110351,9.290392,21.317341,20.606278,-1.165027,17.854259,21.425721,-0.005525,2.936438,6.246338,0.043599,2.144524,7.735291,-0.161406,1.021633,5.04364
walking,1.507297,9.23743,18.497863,9.570829,18.560736,19.169128,-1.273406,17.414982,18.381226,0.20014,2.573529,6.156616,-0.03808,2.329965,7.735291,-0.200211,0.822102,4.534149
walking,1.547192,8.54343,17.231506,9.550501,19.105173,20.037963,-1.075526,13.971697,17.688538,0.123524,2.685158,6.159821,-0.041893,1.969047,7.222595,-0.142596,0.696742,3.930664
walking,1.711105,8.357652,16.426941,9.617009,14.981702,18.904907,-0.298382,11.41402,20.164124,0.032201,2.874024,6.54541,-0.397394,2.204343,7.451172,-0.080646,0.786566,3.930664
walking,1.794561,7.626059,16.007996,9.863496,11.576967,16.769714,-0.47084,13.318413,20.164124,-0.190074,2.447458,6.4151,-0.799582,1.856043,6.501618,0.056586,0.591219,3.176575
walking,1.283614,4.684962,13.239624,9.547073,14.021461,17.029175,-1.098734,15.962287,19.654725,-0.41974,2.081065,6.395874,-0.532948,2.003259,6.448212,0.158163,0.511984,3.492737
walking,1.357572,5.546032,15.741394,9.136001,18.492961,19.442276,-1.208683,19.653617,22.25647,-0.133987,2.723934,6.60202,-0.203093,2.264257,6.753693,-0.035838,0.767876,4.129333
walking,1.723745,8.22539,16.10321,9.412053,20.17758,20.263504,-1.174144,19.02651,21.782776,0.156946,2.843051,6.595612,-0.115251,2.125811,7.69043,-0.224692,0.780128,4.13147
walking,1.452168,6.911827,15.865173,9.646972,18.983542,20.263504,-1.037297,14.469887,20.102234,0.176909,2.613355,6.105347,0.061255,1.964569,7.691498,-0.215292,0.852309,4.230805
